Node1,Node2,edge_creation_time
missourinewsus,pamela_moore13,2015-11-17 09:29:58+00:00
rightnpr,tpartynews,2015-11-28 21:53:33+00:00
rightnpr,realten_gop,2015-11-28 21:53:33+00:00
rightnpr,ten_gop,2015-11-28 21:53:33+00:00
rightnpr,southlonestar,2015-11-28 21:53:33+00:00
tpartynews,ten_gop,2015-10-23 11:07:56+00:00
tpartynews,usa_gunslinger,2015-10-23 11:07:56+00:00
tpartynews,realten_gop,2015-10-23 11:07:56+00:00
tpartynews,southlonestar,2015-11-25 12:33:28+00:00
tpartynews,ameliebaldwin,2015-10-23 11:07:56+00:00
tpartynews,chesplayschess,2015-10-23 11:07:56+00:00
tpartynews,finley1589,2015-10-23 11:07:56+00:00
tpartynews,march_for_trump,2015-10-23 11:07:56+00:00
tpartynews,tpartynews,2015-10-23 11:07:56+00:00
michellearry,cookncooks,2013-08-29 19:45:40+00:00
michellearry,garrettsimpson_,2013-08-22 08:41:12+00:00
michellearry,ryanmaxwell_1,2013-09-15 19:45:16+00:00
michellearry,hollandpatrickk,2013-08-22 08:41:12+00:00
michellearry,lazykstafford,2014-05-06 17:01:42+00:00
michellearry,emileewaren,2013-08-22 08:41:12+00:00
michellearry,mil0blake,2015-03-10 16:44:21+00:00
michellearry,priceforpierce,2015-03-10 13:51:14+00:00
michellearry,dorothiebell,2013-09-08 19:08:41+00:00
michellearry,judelambertusa,2014-06-06 13:58:27+00:00
michellearry,heyits_toby,2014-06-02 06:34:52+00:00
michellearry,hollydler,2015-03-10 12:14:35+00:00
michellearry,melanymelanin,2013-08-22 08:41:12+00:00
michellearry,_nickluna_,2013-08-22 08:41:12+00:00
michellearry,cassishere,2013-08-22 08:41:12+00:00
michellearry,evagreen69,2014-05-29 23:40:26+00:00
michellearry,jeannemccarthy0,2013-08-22 08:41:12+00:00
michellearry,thefoundingson,2013-08-22 08:41:12+00:00
michellearry,evewebster373,2013-08-22 08:41:12+00:00
michellearry,traceyhappymom,2014-05-05 14:13:47+00:00
michellearry,michellearry,2013-08-22 08:41:12+00:00
michellearry,danageezus,2014-10-29 12:07:12+00:00
michellearry,j0hnlarsen,2013-08-22 08:41:12+00:00
michellearry,logan_whatsup,2013-08-22 08:41:12+00:00
michellearry,leroylovesusa,2014-05-30 09:52:16+00:00
michellearry,jeffreykahunas,2013-08-22 08:41:12+00:00
michellearry,cynthiamhunter,2013-08-22 08:41:12+00:00
michellearry,aldrich420,2015-03-10 02:43:42+00:00
michellearry,c__wells,2013-08-22 08:41:12+00:00
michellearry,patriotraphael,2014-06-07 18:41:41+00:00
michellearry,laurabaeley,2013-08-22 08:41:12+00:00
michellearry,micparrish,2013-08-22 08:41:12+00:00
michellearry,kathiemrr,2014-05-29 12:50:04+00:00
cookncooks,leroylovesusa,2014-05-30 09:52:16+00:00
cookncooks,emileewaren,2013-08-29 19:45:40+00:00
cookncooks,giselleevns,2014-10-29 11:47:31+00:00
cookncooks,jeffreykahunas,2013-08-29 19:45:40+00:00
cookncooks,hollandpatrickk,2013-08-29 19:45:40+00:00
cookncooks,heyits_toby,2014-06-02 06:34:52+00:00
cookncooks,jacquelinisbest,2013-08-29 19:45:40+00:00
cookncooks,_nickluna_,2013-08-29 19:45:40+00:00
cookncooks,cookncooks,2013-08-29 19:45:40+00:00
cookncooks,mil0blake,2015-03-10 16:44:21+00:00
cookncooks,priceforpierce,2015-03-10 13:51:14+00:00
cookncooks,judelambertusa,2014-06-06 13:58:27+00:00
cookncooks,laurabaeley,2013-08-29 19:45:40+00:00
cookncooks,jeannemccarthy0,2013-08-29 19:45:40+00:00
cookncooks,garrettsimpson_,2013-08-29 19:45:40+00:00
cookncooks,dorothiebell,2013-09-08 19:08:41+00:00
cookncooks,thefoundingson,2013-08-29 19:45:40+00:00
kathiemrr,notritahart,2014-05-29 12:50:04+00:00
kathiemrr,daileyjadon,2014-05-29 12:50:04+00:00
kathiemrr,traceyhappymom,2014-05-29 12:50:04+00:00
kathiemrr,jeannemccarthy0,2014-05-29 12:50:04+00:00
kathiemrr,puredavie,2014-06-18 19:34:30+00:00
kathiemrr,mr_clampin,2014-06-02 18:05:55+00:00
kathiemrr,dominicvalent,2014-05-31 03:02:31+00:00
kathiemrr,queenofthewo,2014-06-05 12:27:57+00:00
kathiemrr,chrixmorgan,2014-10-29 16:41:11+00:00
kathiemrr,giselleevns,2014-10-29 11:47:31+00:00
kathiemrr,kathiemrr,2014-05-29 12:50:04+00:00
kathiemrr,melvinsroberts,2014-05-29 12:50:04+00:00
kathiemrr,jasper_fly,2014-05-29 16:57:09+00:00
kathiemrr,cassieweltch,2014-06-07 13:13:24+00:00
kathiemrr,thefoundingson,2014-05-29 12:50:04+00:00
kathiemrr,danageezus,2014-10-29 12:07:12+00:00
kathiemrr,priceforpierce,2015-03-10 13:51:14+00:00
notritahart,mr_clampin,2014-06-02 18:05:55+00:00
notritahart,queenofthewo,2014-06-05 12:27:57+00:00
notritahart,cassieweltch,2014-06-07 13:13:24+00:00
notritahart,thefoundingson,2014-05-15 15:46:10+00:00
notritahart,melvinsroberts,2014-05-15 15:46:10+00:00
notritahart,giselleevns,2014-10-29 11:47:31+00:00
notritahart,notritahart,2014-05-15 15:46:10+00:00
notritahart,traceyhappymom,2014-05-15 15:46:10+00:00
notritahart,jasper_fly,2014-05-29 16:57:09+00:00
notritahart,daileyjadon,2014-05-15 15:46:10+00:00
notritahart,chrixmorgan,2014-10-29 16:41:11+00:00
notritahart,ilikebigbuttand,2014-05-15 15:46:10+00:00
notritahart,puredavie,2014-06-18 19:34:30+00:00
notritahart,danageezus,2014-10-29 12:07:12+00:00
puredavie,jasper_fly,2014-06-18 19:34:30+00:00
puredavie,dominicvalent,2014-06-18 19:34:30+00:00
puredavie,giselleevns,2014-10-29 11:47:31+00:00
puredavie,lazykstafford,2014-06-18 19:34:30+00:00
puredavie,daileyjadon,2014-06-18 19:34:30+00:00
puredavie,queenofthewo,2014-06-18 19:34:30+00:00
puredavie,melvinsroberts,2014-06-18 19:34:30+00:00
puredavie,danageezus,2014-10-29 12:07:12+00:00
puredavie,traceyhappymom,2014-06-18 19:34:30+00:00
puredavie,mr_clampin,2014-06-18 19:34:30+00:00
puredavie,bgarner2107,2014-08-03 19:00:10+00:00
puredavie,cassieweltch,2014-06-18 19:34:30+00:00
puredavie,jmscoxxx,2014-06-18 19:34:30+00:00
puredavie,brightandglory,2014-07-03 15:01:56+00:00
puredavie,puredavie,2014-06-18 19:34:30+00:00
puredavie,thefoundingson,2014-06-18 19:34:30+00:00
puredavie,jeannemccarthy0,2014-06-18 19:34:30+00:00
jasper_fly,jasper_fly,2014-05-29 16:57:09+00:00
jasper_fly,cassieweltch,2014-06-07 13:13:24+00:00
jasper_fly,giselleevns,2014-10-29 11:47:31+00:00
jasper_fly,melvinsroberts,2014-05-29 16:57:09+00:00
jasper_fly,mil0blake,2015-03-10 16:44:21+00:00
jasper_fly,daileyjadon,2014-05-29 16:57:09+00:00
jasper_fly,chrixmorgan,2014-10-29 16:41:11+00:00
jasper_fly,mr_clampin,2014-06-02 18:05:55+00:00
jasper_fly,traceyhappymom,2014-05-29 16:57:09+00:00
jasper_fly,patriotblake,2014-07-04 08:01:06+00:00
jasper_fly,emileewaren,2014-05-29 16:57:09+00:00
jasper_fly,lazykstafford,2014-05-29 16:57:09+00:00
jasper_fly,queenofthewo,2014-06-05 12:27:57+00:00
mr_clampin,queenofthewo,2014-06-05 12:27:57+00:00
mr_clampin,daileyjadon,2014-06-02 18:05:55+00:00
mr_clampin,mr_clampin,2014-06-02 18:05:55+00:00
mr_clampin,cassieweltch,2014-06-07 13:13:24+00:00
mr_clampin,melvinsroberts,2014-06-02 18:05:55+00:00
mr_clampin,giselleevns,2014-10-29 11:47:31+00:00
mr_clampin,traceyhappymom,2014-06-02 18:05:55+00:00
mr_clampin,danageezus,2014-10-29 12:07:12+00:00
mr_clampin,ilikebigbuttand,2014-06-02 18:05:55+00:00
mr_clampin,dominicvalent,2014-06-02 18:05:55+00:00
mr_clampin,jeannemccarthy0,2014-06-02 18:05:55+00:00
mr_clampin,evagreen69,2014-06-02 18:05:55+00:00
mr_clampin,charlesjharper,2014-06-02 18:05:55+00:00
melvinsroberts,cassieweltch,2014-06-07 13:13:24+00:00
melvinsroberts,giselleevns,2014-10-29 11:47:31+00:00
melvinsroberts,queenofthewo,2014-06-05 12:27:57+00:00
melvinsroberts,daileyjadon,2013-09-04 03:45:27+00:00
melvinsroberts,curtisbigman,2013-09-04 03:45:27+00:00
melvinsroberts,traceyhappymom,2014-05-05 14:13:47+00:00
melvinsroberts,abigailssilk,2014-05-30 07:14:05+00:00
melvinsroberts,hipppo_,2014-05-30 10:41:42+00:00
melvinsroberts,danageezus,2014-10-29 12:07:12+00:00
melvinsroberts,thefoundingson,2013-09-04 03:45:27+00:00
melvinsroberts,melvinsroberts,2013-09-04 03:45:27+00:00
melvinsroberts,adrienne_gg,2013-09-04 03:45:27+00:00
melvinsroberts,aiden7757,2014-05-29 09:58:50+00:00
melvinsroberts,charlesjharper,2013-09-04 03:45:27+00:00
melvinsroberts,cascaseyp,2014-08-14 07:52:32+00:00
melvinsroberts,dannythehappies,2014-05-31 00:27:24+00:00
melvinsroberts,heyheyhailey,2014-05-30 14:34:05+00:00
cassieweltch,queenofthewo,2014-06-07 13:13:24+00:00
cassieweltch,traceyhappymom,2014-06-07 13:13:24+00:00
cassieweltch,daileyjadon,2014-06-07 13:13:24+00:00
cassieweltch,giselleevns,2014-10-29 11:47:31+00:00
cassieweltch,chrixmorgan,2014-10-29 16:41:11+00:00
cassieweltch,brightandglory,2014-07-03 15:01:56+00:00
cassieweltch,cassieweltch,2014-06-07 13:13:24+00:00
cassieweltch,jeannemccarthy0,2014-06-07 13:13:24+00:00
cassieweltch,dominicvalent,2014-06-07 13:13:24+00:00
cassieweltch,thefoundingson,2014-06-07 13:13:24+00:00
cassieweltch,johnbranchh,2014-06-07 13:13:24+00:00
cassieweltch,danageezus,2014-10-29 12:07:12+00:00
ameliebaldwin,thefoundingson,2013-08-17 22:53:07+00:00
ameliebaldwin,jenn_abrams,2014-10-29 16:57:18+00:00
ameliebaldwin,usa_gunslinger,2013-08-17 22:53:07+00:00
dominicvalent,giselleevns,2014-10-29 11:47:31+00:00
dominicvalent,chrixmorgan,2014-10-29 16:41:11+00:00
dominicvalent,donnielmiller,2014-05-31 03:02:31+00:00
dominicvalent,daileyjadon,2014-05-31 03:02:31+00:00
dominicvalent,bruciedublin,2014-05-31 03:02:31+00:00
dominicvalent,hellieedwards,2014-05-31 03:02:31+00:00
dominicvalent,meggieoneil,2014-05-31 03:02:31+00:00
giselleevns,chrixmorgan,2014-10-29 16:41:11+00:00
giselleevns,daileyjadon,2014-10-29 11:47:31+00:00
giselleevns,giselleevns,2014-10-29 11:47:31+00:00
giselleevns,traceyhappymom,2014-10-29 11:47:31+00:00
giselleevns,danageezus,2014-10-29 12:07:12+00:00
giselleevns,dickyirwin,2014-10-29 11:47:31+00:00
giselleevns,brightandglory,2014-10-29 11:47:31+00:00
giselleevns,jacquelinisbest,2014-10-29 11:47:31+00:00
giselleevns,loragreeen,2014-10-29 11:47:31+00:00
giselleevns,queenofthewo,2014-10-29 11:47:31+00:00
giselleevns,kencannone,2014-10-29 11:47:31+00:00
giselleevns,dorothiebell,2014-10-29 11:47:31+00:00
giselleevns,gab1aldana,2014-10-29 11:47:31+00:00
giselleevns,worldofhashtags,2015-09-03 17:13:40+00:00
giselleevns,heyits_toby,2014-10-29 11:47:31+00:00
giselleevns,aldrich420,2015-03-10 02:43:42+00:00
giselleevns,thefoundingson,2014-10-29 11:47:31+00:00
giselleevns,hollandpatrickk,2014-10-29 11:47:31+00:00
giselleevns,dannythehappies,2014-10-29 11:47:31+00:00
giselleevns,curtisbigman,2014-10-29 11:47:31+00:00
giselleevns,wadeharriot,2014-10-29 11:47:31+00:00
giselleevns,_nickluna_,2014-10-29 11:47:31+00:00
queenofthewo,traceyhappymom,2014-06-05 12:27:57+00:00
queenofthewo,daileyjadon,2014-06-05 12:27:57+00:00
queenofthewo,queenofthewo,2014-06-05 12:27:57+00:00
queenofthewo,gab1aldana,2014-06-05 12:27:57+00:00
queenofthewo,jeannemccarthy0,2014-06-05 12:27:57+00:00
queenofthewo,hellieedwards,2014-06-05 12:27:57+00:00
queenofthewo,thefoundingson,2014-06-05 12:27:57+00:00
queenofthewo,chrixmorgan,2014-10-29 16:41:11+00:00
leroylovesusa,jeffreykahunas,2014-05-30 09:52:16+00:00
leroylovesusa,dorothiebell,2014-05-30 09:52:16+00:00
leroylovesusa,stanley_cox_,2014-05-30 09:52:16+00:00
leroylovesusa,_nickluna_,2014-05-30 09:52:16+00:00
leroylovesusa,laurabaeley,2014-05-30 09:52:16+00:00
leroylovesusa,hollandpatrickk,2014-05-30 09:52:16+00:00
leroylovesusa,priceforpierce,2015-03-10 13:51:14+00:00
leroylovesusa,heyits_toby,2014-06-02 06:34:52+00:00
leroylovesusa,c__wells,2014-05-30 09:52:16+00:00
leroylovesusa,jacquelinisbest,2014-05-30 09:52:16+00:00
leroylovesusa,lazykstafford,2014-05-30 09:52:16+00:00
leroylovesusa,mil0blake,2015-03-10 16:44:21+00:00
leroylovesusa,ryanmaxwell_1,2014-05-30 09:52:16+00:00
leroylovesusa,evagreen69,2014-05-30 09:52:16+00:00
leroylovesusa,leroylovesusa,2014-05-30 09:52:16+00:00
leroylovesusa,patriotblake,2014-07-04 08:01:06+00:00
leroylovesusa,patriotraphael,2014-06-07 18:41:41+00:00
leroylovesusa,melanymelanin,2014-05-30 09:52:16+00:00
leroylovesusa,emileewaren,2014-05-30 09:52:16+00:00
leroylovesusa,deusxyx,2014-05-30 09:52:16+00:00
leroylovesusa,judelambertusa,2014-06-06 13:58:27+00:00
leroylovesusa,westernwindwes,2014-05-30 09:52:16+00:00
leroylovesusa,jeannemccarthy0,2014-05-30 09:52:16+00:00
leroylovesusa,garrettsimpson_,2014-05-30 09:52:16+00:00
jeffreykahunas,_nickluna_,2013-08-06 10:16:28+00:00
jeffreykahunas,laurabaeley,2013-08-09 17:24:31+00:00
jeffreykahunas,chesplayschess,2013-09-18 00:47:26+00:00
jeffreykahunas,rh0lbr00k,2013-08-11 14:58:35+00:00
jeffreykahunas,logan_whatsup,2013-07-26 15:01:14+00:00
jeffreykahunas,lazykstafford,2014-05-06 17:01:42+00:00
jeffreykahunas,garrettsimpson_,2013-08-10 19:27:26+00:00
jeffreykahunas,patriotraphael,2014-06-07 18:41:41+00:00
jeffreykahunas,heyits_toby,2014-06-02 06:34:52+00:00
jeffreykahunas,emileewaren,2013-08-16 19:50:47+00:00
jeffreykahunas,judelambertusa,2014-06-06 13:58:27+00:00
jeffreykahunas,c__wells,2013-07-26 15:01:14+00:00
jeffreykahunas,mil0blake,2015-03-10 16:44:21+00:00
jeffreykahunas,ryanmaxwell_1,2013-09-15 19:45:16+00:00
jeffreykahunas,aldrich420,2015-03-10 02:43:42+00:00
jeffreykahunas,jeffreykahunas,2013-07-26 15:01:14+00:00
jeffreykahunas,carriethornthon,2013-08-05 05:56:27+00:00
jeffreykahunas,patriotblake,2014-07-04 08:01:06+00:00
jeffreykahunas,hollandpatrickk,2013-08-05 05:41:35+00:00
jeffreykahunas,paolakinck,2014-05-30 14:14:48+00:00
jeffreykahunas,evagreen69,2014-05-29 23:40:26+00:00
jeffreykahunas,marissaimstrong,2013-07-26 15:01:14+00:00
judelambertusa,dorothiebell,2014-06-06 13:58:27+00:00
judelambertusa,c__wells,2014-06-06 13:58:27+00:00
judelambertusa,patriotblake,2014-07-04 08:01:06+00:00
judelambertusa,heyits_toby,2014-06-06 13:58:27+00:00
judelambertusa,laurabaeley,2014-06-06 13:58:27+00:00
judelambertusa,ryanmaxwell_1,2014-06-06 13:58:27+00:00
judelambertusa,hollandpatrickk,2014-06-06 13:58:27+00:00
judelambertusa,garrettsimpson_,2014-06-06 13:58:27+00:00
judelambertusa,_nickluna_,2014-06-06 13:58:27+00:00
judelambertusa,jeannemccarthy0,2014-06-06 13:58:27+00:00
judelambertusa,johnbranchh,2014-06-06 13:58:27+00:00
judelambertusa,judelambertusa,2014-06-06 13:58:27+00:00
judelambertusa,emileewaren,2014-06-06 13:58:27+00:00
judelambertusa,evagreen69,2014-06-06 13:58:27+00:00
judelambertusa,jacquelinisbest,2014-06-06 13:58:27+00:00
judelambertusa,mil0blake,2015-03-10 16:44:21+00:00
judelambertusa,wadeharriot,2014-06-06 13:58:27+00:00
judelambertusa,_billy_moyer_,2014-06-06 13:58:27+00:00
dorothiebell,evagreen69,2014-05-29 23:40:26+00:00
dorothiebell,stanley_cox_,2014-05-11 10:33:38+00:00
dorothiebell,lazykstafford,2014-05-06 17:01:42+00:00
dorothiebell,jacquelinisbest,2013-09-08 19:08:41+00:00
