id,location,coordinates,user_key
100345056.0,still ⬆️Block⤵️Corner⬇️street,,SCOTTGOHARD
247165706.0,"Chicago, IL","(41.8755616, -87.6244212)",Beckster319
471868887.0,"Санкт-Петербург, Россия","(59.938732, 30.316229)",MargoSavazh
1039581360.0,Amerika,"(53.6685061, 22.3069023)",darknally
1510488662.0,USA,"(39.7837304, -100.445882)",lagonehoe
1513801268.0,USA,"(39.7837304, -100.445882)",YouJustCtrlC
1517678892.0,"Philadelphia, PA","(39.9527237, -75.1635262)",MrMoraan
1518857420.0,USA,"(39.7837304, -100.445882)",NoJonathonNo
1532863891.0,ATL,"(33.63779875, -84.42927118585675)",CharlesJHarper
1533813962.0,USA,"(39.7837304, -100.445882)",PrettyLaraPlace
1584279696.0,"Chicago, IL","(41.8755616, -87.6244212)",BigBoyJasiah
1594887416.0,USA,"(39.7837304, -100.445882)",Jery_RobertsYo
1612106972.0,USA,"(39.7837304, -100.445882)",LILJordamn
1617939218.0,USA,"(39.7837304, -100.445882)",PaulineTT
1620474397.0,USA,"(39.7837304, -100.445882)",RamonasNails
1627096807.0,"Chicago, IL","(41.8755616, -87.6244212)",JassScott
1627699074.0,United States,"(39.7837304, -100.445882)",CannonSher
1629828379.0,"New York, USA","(40.7127281, -74.0060152)",cassishere
1647045721.0,Alaska,"(64.4459613, -149.680909)",CarrieThornthon
1648012021.0,United States,"(39.7837304, -100.445882)",ImaPharrelFake
1649487510.0,USA,"(39.7837304, -100.445882)",HiImKhloe
1649967228.0,United States,"(39.7837304, -100.445882)",_NickLuna_
1650681522.0,United States,"(39.7837304, -100.445882)",IlikeBIGbuttand
1651692980.0,USA,"(39.7837304, -100.445882)",staywoke88
1651693646.0,United States,"(39.7837304, -100.445882)",CynthiaMHunter
1652138929.0,NY,"(43.1561681, -75.8449946)",acejinev
1652262638.0,USA,"(39.7837304, -100.445882)",AntonHayHay
1652987412.0,USA,"(39.7837304, -100.445882)",AlecMooooody
1653553555.0,Florida,"(27.7567667, -81.4639835)",JaydaAstonishin
1655194147.0,"St Louis, MO","(38.6280278, -90.1910154)",melanymelanin
1656685598.0,USA,"(39.7837304, -100.445882)",JeanneMccarthy0
1657694515.0,US,"(17.789187, -64.7080574)",DaileyJadon
1657833811.0,USA,"(39.7837304, -100.445882)",Adrienne_GG
1658202894.0,United States,"(39.7837304, -100.445882)",LauraBaeley
1658420976.0,USA,"(39.7837304, -100.445882)",BaoBaeHam
1658440730.0,USA,"(39.7837304, -100.445882)",TravisRespek
1659549972.0,NY,"(43.1561681, -75.8449946)",MalloryJared
1660375034.0,USA,"(39.7837304, -100.445882)",iLoveSarahRich
1660771422.0,USA,"(39.7837304, -100.445882)",GarrettSimpson_
1661246144.0,USA,"(39.7837304, -100.445882)",KateRitterrrr
1662453998.0,USA,"(39.7837304, -100.445882)",ErRivvvvers
1664988493.0,USA,"(39.7837304, -100.445882)",claudia42kern
1665377383.0,"New York, USA","(40.7127281, -74.0060152)",EliasBrick
1666030405.0,USA,"(39.7837304, -100.445882)",PamBLMDaniels
1668307436.0,Baltimore,"(39.2908816, -76.610759)",CurtisBigMan
1669574551.0,USA,"(39.7837304, -100.445882)",deusXYX
1670149272.0,USA,"(39.7837304, -100.445882)",JavonHIDP
1670318690.0,USA,"(39.7837304, -100.445882)",Siccerthanyou
1671234620.0,USA,"(39.7837304, -100.445882)",hyddrox
1672624255.0,USA,"(39.7837304, -100.445882)",SamirGooden
1674083671.0,USA,"(39.7837304, -100.445882)",Gab1Aldana
1676377446.0,USA,"(39.7837304, -100.445882)",ChadSloyer
1676481360.0,USA,"(39.7837304, -100.445882)",EmileeWaren
1677048979.0,"Baton Rouge, LA","(30.4494155, -91.1869659)",GwennyThot
1679279490.0,USA,"(39.7837304, -100.445882)",AmelieBaldwin
1680578719.0,USA,"(39.7837304, -100.445882)",RosieOnFleek
1681162956.0,"Chicago, IL","(41.8755616, -87.6244212)",camosaseko
1682444790.0,USA,"(39.7837304, -100.445882)",PeytonCashOut
1684524144.0,USA,"(39.7837304, -100.445882)",DatWiseNigga
1685173321.0,USA,"(39.7837304, -100.445882)",BLMSoldier
1685718216.0,America,"(51.4371483, 5.9799001)",J0hnLarsen
1685771767.0,USA,"(39.7837304, -100.445882)",StanleyParris
1686370159.0,United States,"(39.7837304, -100.445882)",ArchieOlivers
1687183549.0,USA,"(39.7837304, -100.445882)",BleepThePolice
1688370956.0,"Georgia, USA","(32.3293809, -83.1137366)",WatchMeWalkin
1690487623.0,USA,"(39.7837304, -100.445882)",MichelleArry
1691736218.0,"Los Angeles, CA","(34.0536909, -118.242766)",RegieBlackmon
1692501152.0,"Los Angeles, CA","(34.0536909, -118.242766)",CornellBurchet
1694026190.0,United States,"(39.7837304, -100.445882)",JacquelinIsBest
1695830984.0,United States,"(39.7837304, -100.445882)",Kelvin_Chambers
1699979024.0,"Texas, USA","(31.2638905, -98.5456116)",RandolphBurrr
1701955429.0,"Baltimore, MD","(39.2908816, -76.610759)",ZzzacharyZzz
1710804738.0,United States,"(39.7837304, -100.445882)",CooknCooks
1715190968.0,USA,"(39.7837304, -100.445882)",OneMightyFish
1715424829.0,United States,"(39.7837304, -100.445882)",KenzDonovan
1716228906.0,USA,"(39.7837304, -100.445882)",Jani_s_Jac
1716561367.0,USA,"(39.7837304, -100.445882)",IIddaaMarks
1720117201.0,USA,"(39.7837304, -100.445882)",DonnaBRivera
1720981580.0,USA,"(39.7837304, -100.445882)",HunterOddddom
1768259989.0,"USA, Atlanta","(33.7489924, -84.3902644)",mrclydepratt
1833223908.0,USA,"(39.7837304, -100.445882)",DorothieBell
